JobID,Skills,Experience,Internships,Certificates,Projects,Education
27,"AI, Deep Learning, TensorFlow",3+ years,Internship in AI Research,Google Android Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
28,"UI/UX, Figma, Adobe XD",1+ years,Internship in IoT Lab,AWS Architect Cert,Social Media App,"B.Des Design, Bachelor of Design, Design Engineering"
29,"Python, Django, Machine Learning",3+ years,Internship in Analytics,Embedded Cert,"Built ATS system, Spam Classifier","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
30,"Python, Django, Machine Learning",3+ years,Internship at Security Firm,Data Science Cert,"Built ATS system, Spam Classifier","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
31,"UI/UX, Figma, Adobe XD",3+ years,Internship in Cloud Services,Oracle Java Cert,Food Delivery App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
32,"Python, Django, Machine Learning",2+ years,Internship in AI Research,Data Science Cert,"Built ATS system, Spam Classifier","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
33,"Data Science, Pandas, NLP",1+ years,Internship at Security Firm,Embedded Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
34,"Python, Django, Machine Learning",Fresher,Internship in AI Research,Google Android Cert,"Chatbot, ATS Score System","B.Des Design, Bachelor of Design, Design Engineering"
35,"Data Science, Pandas, NLP",2+ years,Internship at IT company,Full Stack Cert,"Built ATS system, Spam Classifier","B.Des Design, Bachelor of Design, Design Engineering"
36,"Python, Django, Machine Learning",3+ years,Internship in Design,Embedded Cert,Smart Home System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
37,"Python, Django, Machine Learning",3+ years,Internship in AI Research,"AWS Certified, Python Certified","Built ATS system, Spam Classifier","MBA, Master of Business Administration, Management Studies"
38,"Python, Django, Machine Learning",2+ years,Internship in Design,Full Stack Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
39,"Cloud Computing, AWS, DevOps",Fresher,Internship in Web Company,Google Android Cert,Smart Home System,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
40,"Python, Django, Machine Learning",Fresher,Internship in Web Company,CEH Cert,Social Media App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
41,"UI/UX, Figma, Adobe XD",3+ years,Internship in Design,AWS Architect Cert,Image Recognition System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
42,"Cloud Computing, AWS, DevOps",3+ years,Internship in Design,TensorFlow Cert,"Chatbot, ATS Score System","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
43,"UI/UX, Figma, Adobe XD",1+ years,Internship at IT company,CEH Cert,E-learning Platform,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
44,"React, Node.js, MongoDB",2+ years,Internship in Design,Oracle Java Cert,"E-commerce Website, Banking App","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
45,"React, Node.js, MongoDB",2+ years,Internship in Design,Oracle Java Cert,Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
46,"Data Science, Pandas, NLP",3+ years,Internship in Web Company,"AWS Certified, Python Certified",Food Delivery App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
47,"Java, Spring Boot, MySQL",1+ years,Internship in AI Research,Google Android Cert,"E-commerce Website, Banking App","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
48,"Cybersecurity, Networking, Linux",Fresher,Internship in Cloud Services,CEH Cert,E-learning Platform,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
49,"UI/UX, Figma, Adobe XD",3+ years,Internship in Web Company,TensorFlow Cert,Image Recognition System,"B.Des Design, Bachelor of Design, Design Engineering"
50,"AI, Deep Learning, TensorFlow",2+ years,Internship at Startup,Oracle Java Cert,Image Recognition System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
51,"Data Science, Pandas, NLP",2+ years,Internship in Analytics,CEH Cert,"E-commerce Website, Banking App","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
52,"AI, Deep Learning, TensorFlow",1+ years,Internship in Analytics,Embedded Cert,"Firewall Project, Pen Testing","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
53,"Data Science, Pandas, NLP",Fresher,Internship in AI Research,Data Science Cert,"Chatbot, ATS Score System","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
54,"React, Node.js, MongoDB",2+ years,Internship in Mobile Dev,Full Stack Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
55,"C, Embedded Systems, IoT",Fresher,Internship in Analytics,Embedded Cert,"E-commerce Website, Banking App","MBA, Master of Business Administration, Management Studies"
56,"Python, Django, Machine Learning",3+ years,Internship in Design,Oracle Java Cert,"Built ATS system, Spam Classifier","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
57,"AI, Deep Learning, TensorFlow",Fresher,Internship at Security Firm,UI/UX Cert,CI/CD Pipeline,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
58,"Cloud Computing, AWS, DevOps",3+ years,Internship in Web Company,Data Science Cert,"E-commerce Website, Banking App","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
59,"C, Embedded Systems, IoT",3+ years,Internship in Analytics,UI/UX Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
60,"Cybersecurity, Networking, Linux",3+ years,Internship at Security Firm,Google Android Cert,Smart Home System,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
61,"Cybersecurity, Networking, Linux",3+ years,Internship in Mobile Dev,TensorFlow Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
62,"Android, Kotlin, Firebase",1+ years,Internship in Design,CEH Cert,Food Delivery App,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
63,"Java, Spring Boot, MySQL",3+ years,Internship in Analytics,"AWS Certified, Python Certified",CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
64,"Android, Kotlin, Firebase",Fresher,Internship at Security Firm,Full Stack Cert,"Firewall Project, Pen Testing","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
65,"Java, Spring Boot, MySQL",3+ years,Internship in Cloud Services,Full Stack Cert,E-learning Platform,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
66,"Cloud Computing, AWS, DevOps",Fresher,Internship in AI Research,TensorFlow Cert,"Chatbot, ATS Score System","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
67,"React, Node.js, MongoDB",2+ years,Internship in IoT Lab,Embedded Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
68,"UI/UX, Figma, Adobe XD",2+ years,Internship in Mobile Dev,Embedded Cert,"E-commerce Website, Banking App","B.Des Design, Bachelor of Design, Design Engineering"
69,"Cybersecurity, Networking, Linux",3+ years,Internship in Mobile Dev,Data Science Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
70,"Cloud Computing, AWS, DevOps",3+ years,Internship in Mobile Dev,CEH Cert,E-learning Platform,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
71,"UI/UX, Figma, Adobe XD",Fresher,Internship in AI Research,Embedded Cert,Social Media App,"B.Des Design, Bachelor of Design, Design Engineering"
72,"Python, Django, Machine Learning",1+ years,Internship in Web Company,Embedded Cert,CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
73,"AI, Deep Learning, TensorFlow",3+ years,Internship in Design,Data Science Cert,"Chatbot, ATS Score System","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
74,"Cloud Computing, AWS, DevOps",1+ years,Internship in Analytics,Google Android Cert,E-learning Platform,"B.Des Design, Bachelor of Design, Design Engineering"
75,"Android, Kotlin, Firebase",Fresher,Internship in IoT Lab,TensorFlow Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
76,"Android, Kotlin, Firebase",3+ years,Internship at Security Firm,Oracle Java Cert,Image Recognition System,"B.Des Design, Bachelor of Design, Design Engineering"
77,"AI, Deep Learning, TensorFlow",2+ years,Internship in Analytics,"AWS Certified, Python Certified",Image Recognition System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
78,"C, Embedded Systems, IoT",2+ years,Internship in IoT Lab,AWS Architect Cert,"E-commerce Website, Banking App","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
79,"Android, Kotlin, Firebase",1+ years,Internship in Analytics,Data Science Cert,"Chatbot, ATS Score System","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
80,"UI/UX, Figma, Adobe XD",2+ years,Internship in Web Company,Data Science Cert,"Chatbot, ATS Score System","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
81,"React, Node.js, MongoDB",Fresher,Internship at IT company,"AWS Certified, Python Certified",Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
82,"Data Science, Pandas, NLP",3+ years,Internship in Design,Full Stack Cert,E-learning Platform,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
83,"Cybersecurity, Networking, Linux",Fresher,Internship at IT company,UI/UX Cert,E-learning Platform,"MBA, Master of Business Administration, Management Studies"
84,"Cybersecurity, Networking, Linux",2+ years,Internship in Analytics,"AWS Certified, Python Certified",Social Media App,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
85,"Data Science, Pandas, NLP",3+ years,Internship in Analytics,Oracle Java Cert,E-learning Platform,"MBA, Master of Business Administration, Management Studies"
86,"UI/UX, Figma, Adobe XD",2+ years,Internship in Design,Data Science Cert,Social Media App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
87,"React, Node.js, MongoDB",1+ years,Internship at Security Firm,CEH Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
88,"Android, Kotlin, Firebase",3+ years,Internship at IT company,CEH Cert,"Firewall Project, Pen Testing","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
89,"Java, Spring Boot, MySQL",Fresher,Internship in AI Research,"AWS Certified, Python Certified",CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
90,"Python, Django, Machine Learning",2+ years,Internship at Security Firm,Full Stack Cert,"Built ATS system, Spam Classifier","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
91,"AI, Deep Learning, TensorFlow",1+ years,Internship in IoT Lab,UI/UX Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
92,"AI, Deep Learning, TensorFlow",Fresher,Internship at Startup,CEH Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
93,"Data Science, Pandas, NLP",3+ years,Internship in Web Company,Embedded Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
94,"Java, Spring Boot, MySQL",3+ years,Internship in Mobile Dev,AWS Architect Cert,E-learning Platform,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
95,"Java, Spring Boot, MySQL",3+ years,Internship in AI Research,AWS Architect Cert,Social Media App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
96,"UI/UX, Figma, Adobe XD",3+ years,Internship in Design,Data Science Cert,"Firewall Project, Pen Testing","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
97,"Android, Kotlin, Firebase",1+ years,Internship in Cloud Services,"AWS Certified, Python Certified",Social Media App,"MBA, Master of Business Administration, Management Studies"
98,"Cybersecurity, Networking, Linux",Fresher,Internship in Analytics,"AWS Certified, Python Certified","Firewall Project, Pen Testing","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
99,"Data Science, Pandas, NLP",Fresher,Internship in AI Research,Full Stack Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
100,"Python, Django, Machine Learning",Fresher,Internship in AI Research,Embedded Cert,"E-commerce Website, Banking App","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
101,"Python, Django, Machine Learning",1+ years,Internship at Security Firm,Google Android Cert,"Built ATS system, Spam Classifier","M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
102,"Android, Kotlin, Firebase",1+ years,Internship in Analytics,TensorFlow Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
103,"Cybersecurity, Networking, Linux",Fresher,Internship at Security Firm,Google Android Cert,CI/CD Pipeline,"B.Des Design, Bachelor of Design, Design Engineering"
104,"C, Embedded Systems, IoT",2+ years,Internship in Mobile Dev,CEH Cert,"E-commerce Website, Banking App","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
105,"UI/UX, Figma, Adobe XD",Fresher,Internship at Startup,CEH Cert,Smart Home System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
106,"React, Node.js, MongoDB",3+ years,Internship in Analytics,UI/UX Cert,Image Recognition System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
107,"Data Science, Pandas, NLP",2+ years,Internship in Web Company,AWS Architect Cert,Image Recognition System,"B.Des Design, Bachelor of Design, Design Engineering"
108,"Data Science, Pandas, NLP",1+ years,Internship at Startup,Data Science Cert,"Chatbot, ATS Score System","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
109,"Java, Spring Boot, MySQL",2+ years,Internship in IoT Lab,"AWS Certified, Python Certified",CI/CD Pipeline,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
110,"C, Embedded Systems, IoT",2+ years,Internship in IoT Lab,Google Android Cert,Smart Home System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
111,"Cloud Computing, AWS, DevOps",2+ years,Internship in Mobile Dev,Data Science Cert,Smart Home System,"MBA, Master of Business Administration, Management Studies"
112,"Cybersecurity, Networking, Linux",3+ years,Internship at Startup,AWS Architect Cert,Social Media App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
113,"Cybersecurity, Networking, Linux",1+ years,Internship at Security Firm,Data Science Cert,"Built ATS system, Spam Classifier","B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
114,"Cybersecurity, Networking, Linux",Fresher,Internship in Cloud Services,Full Stack Cert,"Built ATS system, Spam Classifier","M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
115,"Cybersecurity, Networking, Linux",1+ years,Internship in IoT Lab,Oracle Java Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
116,"Android, Kotlin, Firebase",Fresher,Internship in Design,AWS Architect Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
117,"Java, Spring Boot, MySQL",1+ years,Internship in Web Company,Embedded Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
118,"UI/UX, Figma, Adobe XD",1+ years,Internship in Analytics,Oracle Java Cert,"E-commerce Website, Banking App","MBA, Master of Business Administration, Management Studies"
119,"UI/UX, Figma, Adobe XD",2+ years,Internship at Startup,TensorFlow Cert,Food Delivery App,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
120,"AI, Deep Learning, TensorFlow",3+ years,Internship in Web Company,Full Stack Cert,"Chatbot, ATS Score System","MBA, Master of Business Administration, Management Studies"
121,"Cloud Computing, AWS, DevOps",Fresher,Internship in Mobile Dev,"AWS Certified, Python Certified",Smart Home System,"M.Tech Data Science, Master of Technology in Data Science, Data Science Engineering"
122,"Cybersecurity, Networking, Linux",2+ years,Internship in Web Company,Google Android Cert,Image Recognition System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
123,"Java, Spring Boot, MySQL",3+ years,Internship at Startup,AWS Architect Cert,CI/CD Pipeline,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
124,"Cloud Computing, AWS, DevOps",Fresher,Internship in Web Company,Embedded Cert,Social Media App,"MBA, Master of Business Administration, Management Studies"
125,"AI, Deep Learning, TensorFlow",2+ years,Internship in Analytics,CEH Cert,Image Recognition System,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
126,"UI/UX, Figma, Adobe XD",Fresher,Internship in IoT Lab,CEH Cert,E-learning Platform,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
127,"Python, Django, Machine Learning",1+ years,Internship in Cloud Services,"AWS Certified, Python Certified","Firewall Project, Pen Testing","B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
128,"Cloud Computing, AWS, DevOps",3+ years,Internship in Analytics,Google Android Cert,Food Delivery App,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
129,"Android, Kotlin, Firebase",1+ years,Internship in AI Research,Data Science Cert,Social Media App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
130,"UI/UX, Figma, Adobe XD",2+ years,Internship at Startup,UI/UX Cert,Image Recognition System,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
131,"C, Embedded Systems, IoT",2+ years,Internship at IT company,Full Stack Cert,"Firewall Project, Pen Testing","B.Des Design, Bachelor of Design, Design Engineering"
132,"UI/UX, Figma, Adobe XD",2+ years,Internship in IoT Lab,Full Stack Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
133,"C, Embedded Systems, IoT",3+ years,Internship in Mobile Dev,CEH Cert,"Built ATS system, Spam Classifier","B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
134,"C, Embedded Systems, IoT",Fresher,Internship in Analytics,Google Android Cert,"Built ATS system, Spam Classifier","B.Des Design, Bachelor of Design, Design Engineering"
135,"Python, Django, Machine Learning",3+ years,Internship in Cloud Services,"AWS Certified, Python Certified",Image Recognition System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
136,"Cybersecurity, Networking, Linux",3+ years,Internship at Startup,Google Android Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
137,"Data Science, Pandas, NLP",Fresher,Internship in AI Research,TensorFlow Cert,Social Media App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
138,"Python, Django, Machine Learning",3+ years,Internship in Cloud Services,Google Android Cert,Social Media App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
139,"Cybersecurity, Networking, Linux",1+ years,Internship in Analytics,Embedded Cert,"Firewall Project, Pen Testing","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
140,"Data Science, Pandas, NLP",2+ years,Internship in Web Company,TensorFlow Cert,Food Delivery App,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
141,"Android, Kotlin, Firebase",3+ years,Internship in Design,"AWS Certified, Python Certified",Food Delivery App,"B.Tech Electrical, Bachelor of Engineering in Electrical Engineering, Electrical Engineering"
142,"Java, Spring Boot, MySQL",1+ years,Internship in IoT Lab,Embedded Cert,E-learning Platform,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
143,"Cloud Computing, AWS, DevOps",1+ years,Internship at Security Firm,AWS Architect Cert,Food Delivery App,"B.Des Design, Bachelor of Design, Design Engineering"
144,"Cybersecurity, Networking, Linux",2+ years,Internship at Startup,Embedded Cert,E-learning Platform,"M.Tech AI, Master of Technology in Artificial Intelligence, Artificial Intelligence Engineering"
145,"Cybersecurity, Networking, Linux",Fresher,Internship in Web Company,CEH Cert,Food Delivery App,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
146,"UI/UX, Figma, Adobe XD",3+ years,Internship in IoT Lab,"AWS Certified, Python Certified",E-learning Platform,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
147,"Android, Kotlin, Firebase",2+ years,Internship in Mobile Dev,Google Android Cert,Image Recognition System,"B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
148,"Cloud Computing, AWS, DevOps",1+ years,Internship in Web Company,Full Stack Cert,Smart Home System,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
149,"Python, Django, Machine Learning",2+ years,Internship in AI Research,"AWS Certified, Python Certified","E-commerce Website, Banking App","B.Tech CSE, Bachelor of Engineering in Computer Science, Computer Science Engineering"
150,"AI, Deep Learning, TensorFlow",3+ years,Internship at Security Firm,CEH Cert,"Built ATS system, Spam Classifier","MBA, Master of Business Administration, Management Studies"
151,"Data Science, Pandas, NLP",3+ years,Internship at Security Firm,"AWS Certified, Python Certified",Social Media App,"B.Tech ECE, Bachelor of Engineering in Electronics and Communication, Electronics and Communication Engineering"
152,"AI, Deep Learning, TensorFlow",1+ years,Internship at IT company,Data Science Cert,Image Recognition System,"B.Des Design, Bachelor of Design, Design Engineering"
153,"C, Embedded Systems, IoT",3+ years,Internship in Mobile Dev,Full Stack Cert,Food Delivery App,"MBA, Master of Business Administration, Management Studies"
154,"Android, Kotlin, Firebase",3+ years,Internship at Security Firm,Oracle Java Cert,Social Media App,"B.Tech Mechanical, Bachelor of Engineering in Mechanical Engineering, Mechanical Engineering"
155,"UI/UX, Figma, Adobe XD",2+ years,Internship in Analytics,TensorFlow Cert,"Firewall Project, Pen Testing","B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
156,"Python, Django, Machine Learning",2+ years,Internship in IoT Lab,UI/UX Cert,Social Media App,"B.Des Design, Bachelor of Design, Design Engineering"
157,"Data Science, Pandas, NLP",1+ years,Internship at Startup,Embedded Cert,E-learning Platform,"B.Des Design, Bachelor of Design, Design Engineering"
158,"Cloud Computing, AWS, DevOps",Fresher,Internship at Security Firm,Data Science Cert,CI/CD Pipeline,"B.E IT, Bachelor of Engineering in Information Technology, Information Technology Engineering"
159,"Data Science, Pandas, NLP",2+ years,Internship at Security Firm,AWS Architect Cert,Social Media App,"B.Tech Civil, Bachelor of Engineering in Civil Engineering, Civil Engineering"
